,通知人,标题,日期,详细链接,附件
168,教学运行,关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,2025-06-03,https://jwch.fzu.edu.cn//info/1036/14095.htm,"[{'附件名': '【2402德法随堂考.xlsx】', '下载次数': 267, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230472'}, {'附件名': '【2402马原随堂考.xlsx】', '下载次数': 327, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230473'}, {'附件名': '【2402毛概随堂考.xlsx】', '下载次数': 273, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230471'}]"
169,实践科,关于开展2025届本科毕业设计（论文）抽检送审工作的通知,2025-04-24,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14018,"[{'附件名': '【附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx】', '下载次数': 1896, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781146'}, {'附件名': '【附件2：2025届福州大学本科毕业设计（论文）抽检情况汇总表.xls】', '下载次数': 2441, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781147'}]"
170,实践科,关于举办福州大学第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛的通知,2025-04-15,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13995,"[{'附件名': '【附件.zip】', '下载次数': 285, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15776222'}]"
171,教学运行,关于2024-2025学年第二学期重新学习选课、缴费的通知,2025-03-10,https://jwch.fzu.edu.cn//info/1036/13903.htm,[]
172,实践科,关于举办福州大学第十四届大学生软件设计与服务外包创新创业竞赛的通知,2025-03-06,https://jwch.fzu.edu.cn//info/1039/13898.htm,[]
173,教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,2025-03-24,https://jwch.fzu.edu.cn//info/1036/13947.htm,"[{'附件名': '【2402概率论半期考-4.13下午.xlsx】', '下载次数': 439, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15767966'}]"
174,综合科,关于2024-2025学年第二学期本科生学生证补办和火车票优惠区间更改的通知,2025-02-24,https://jwch.fzu.edu.cn//info/1035/13884.htm,[]
175,教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,2025-04-01,https://jwch.fzu.edu.cn//info/1036/13974.htm,"[{'附件名': '【2402大物A上、B上半期考-4.13下午.xlsx】', '下载次数': 630, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770526'}]"
176,教学运行,关于2024-2025第二学期学期选课、辅修选课补退选和缴费的通知,2025-02-23,https://jwch.fzu.edu.cn//info/1036/13881.htm,[]
177,计划科,关于公布2024-2025学年第二学期通选课取消开课名单的通知,2025-03-03,https://jwch.fzu.edu.cn//info/1038/13890.htm,[]
178,教材中心,关于2024-2025学年第二学期教材发放的通知,2025-02-22,https://jwch.fzu.edu.cn//info/1042/13876.htm,[]
179,综合科,关于召开2024-2025学年春季学期期初本科教育教学工作会议的通知,2025-02-22,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13875,[]
180,教研教改,福州大学关于收集线上课程资源需求的通知（2025年）,2025-01-15,https://jwch.fzu.edu.cn//info/1037/13861.htm,[]
181,实践科,关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,2025-03-19,https://jwch.fzu.edu.cn//info/1039/13935.htm,"[{'附件名': '【附件：福州大学第十六届企业经营模拟沙盘对抗赛报名表.doc】', '下载次数': 837, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15766807'}]"
182,质量办,关于开展2024年新上岗教师课堂授课达标考核的通知,2025-04-07,https://jwch.fzu.edu.cn//info/1040/13982.htm,"[{'附件名': '【附件2：2024年新上岗教师课堂授课达标考核情况汇总表---需一式三份报教评中心.docx】', '下载次数': 341, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771692'}, {'附件名': '【附件1：2024年福州大学新上岗教师达标培训班名单.xlsx】', '下载次数': 464, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771690'}]"
183,质量办,关于开展2025年春季学期申请类督导听课工作的通知,2025-03-07,https://jwch.fzu.edu.cn//info/1040/13901.htm,"[{'附件名': '【附件：2025年春季学期申请类督导听课汇总表.docx】', '下载次数': 354, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764095'}]"
