,通知人,标题,日期,详细链接,附件
312,实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,2024-09-11,https://jwch.fzu.edu.cn//info/1039/13676.htm,"[{'附件名': '【附件1：福州大学2022年国家、省级大学生创新创业训练计划项目结题成绩汇总表.xls】', '下载次数': 1480, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907032'}, {'附件名': '【附件2：福州大学2023年国家、省级大学生创新创业训练计划项目结题成绩汇总表.doc】', '下载次数': 2399, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907033'}]"
313,计划科,关于核对2024-2025学年第一学期通识教育选修课开课信息的有关通知,2024-06-25,https://jwch.fzu.edu.cn//info/1038/13581.htm,[]
314,教研教改,福州大学关于开展2024级“数理综合班”招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn//info/1037/13642.htm,"[{'附件名': '【附件1：福州大学2024级“数理综合班”招生简章.doc】', '下载次数': 2906, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903271'}, {'附件名': '【附件2：承诺书.doc】', '下载次数': 947, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903272'}]"
315,教材中心,关于申请试用高等教育出版社“云创”数字教材创作编写平台的通知,2024-09-13,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13680,"[{'附件名': '【数字平台介绍-7.pdf】', '下载次数': 369, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907708'}, {'附件名': '【校级管理员+申请创建数字教材流程（新版0612）.pdf】', '下载次数': 68, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907710'}, {'附件名': '【高教社云创使用手册.pdf】', '下载次数': 953, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907709'}]"
316,实践科,关于公布福州大学2024届本科生优秀毕业设计（论文）名单的通知,2024-07-06,https://jwch.fzu.edu.cn//info/1039/13616.htm,"[{'附件名': '【附件：福州大学2024届优秀本科生毕业设计（论文）名单.doc】', '下载次数': 4147, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14638795'}]"
317,教研教改,关于转发福建省教育厅办公室《关于举办2024年本科高校课程思政骨干教师、研究生导师培训班的通知》的通知,2024-06-21,https://jwch.fzu.edu.cn//info/1037/13580.htm,[]
318,教学运行,关于2024-2025学年第一学期本科生学期选课的通知,2024-06-17,https://jwch.fzu.edu.cn//info/1036/13569.htm,[]
319,实践科,关于举办2024年福州大学大学生工程实践与创新能力大赛暨2024年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,2024-09-27,https://jwch.fzu.edu.cn//info/1039/13700.htm,"[{'附件名': '【附件1：组委会成员名单.docx】', '下载次数': 959, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14910724'}, {'附件名': '【附件2：报名表.docx】', '下载次数': 997, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14910719'}, {'附件名': '【附件3：命题与运行.docx】', '下载次数': 1686, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14910725'}]"
320,教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,2024-06-21,https://jwch.fzu.edu.cn//info/1036/13578.htm,"[{'附件名': '【2302 大学物理A（上）、B（上）、C课期末考7.4.xlsx】', '下载次数': 810, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14625019'}]"
321,质量办,关于开展2024年工程教育认证研讨培训的通知,2024-08-02,https://jwch.fzu.edu.cn//info/1040/13630.htm,"[{'附件名': '【附件1：关于组织2024年工程教育认证研讨培训的通告.docx】', '下载次数': 715, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14898472'}, {'附件名': '【附件2：2024年工程教育认证研讨培训报名回执.docx】', '下载次数': 555, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14898473'}]"
322,教研教改,关于组织申报福建省新文科教育研究中心第二批高校新文科建设优秀案例的通知,2024-06-05,https://jwch.fzu.edu.cn//info/1037/13555.htm,[]
323,质量办,关于举办福州大学第五十三场“教学有道” 研讨活动的通知,2024-06-05,https://jwch.fzu.edu.cn//info/1040/13547.htm,[]
324,教学运行,关于做好2024年9月退役复学学生转专业的通知,2024-09-02,https://jwch.fzu.edu.cn//info/1036/13649.htm,"[{'附件名': '【福州大学本科生转专业管理实施办法.doc】', '下载次数': 901, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903737'}, {'附件名': '【福州大学参军退伍复学后学生转专业审批表.doc】', '下载次数': 727, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903736'}]"
325,教研教改,福州大学关于公布2022级数理金融 实验班学生主辅修专业及导师名单的通知,2024-06-05,https://jwch.fzu.edu.cn//info/1037/13553.htm,[]
326,教学运行,关于2023-2024学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,2024-06-20,https://jwch.fzu.edu.cn//info/1036/13577.htm,"[{'附件名': '【2302 大学英语（二）、大学英语（四）课程期末考6.22上午.xlsx】', '下载次数': 737, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624676'}]"
327,计划科,关于2024-2025学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2024-08-25,https://jwch.fzu.edu.cn//info/1038/13637.htm,"[{'附件名': '【2024-2025学年第一学期国情课列表.docx】', '下载次数': 1226, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901557'}, {'附件名': '【港澳台侨学生思政课和军事课程退选申请表.docx】', '下载次数': 957, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901556'}]"
328,教学运行,关于2023-2024学年第二学期《工程制图A（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,2024-06-19,https://jwch.fzu.edu.cn//info/1036/13574.htm,"[{'附件名': '【2302 工程制图A（下）、D、F期末考6.30上午.xlsx】', '下载次数': 717, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624501'}]"
329,教研教改,福州大学关于公布2022级数理综合班 专业分流学生名单及学科导师名单的通知,2024-06-05,https://jwch.fzu.edu.cn//info/1037/13554.htm,[]
330,计划科,关于2024-2025学年第一学期修读辅修专业学生名单的公示,2024-06-05,https://jwch.fzu.edu.cn//info/1038/13548.htm,[]
331,实践科,关于转发《关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知》的通知,2024-06-11,https://jwch.fzu.edu.cn//info/1039/13560.htm,"[{'附件名': '【闽工信联软件〔2024〕41号福建省工业和信息化厅等八部门关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知.pdf】', '下载次数': 1009, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622014'}]"
332,教学运行,关于2024年端午放假课程调整的通知,2024-05-30,https://jwch.fzu.edu.cn//info/1036/13536.htm,[]
333,教学运行,关于2023-2024学年第二学期《英语专题》课程期末考试安排的通知,2024-06-20,https://jwch.fzu.edu.cn//info/1036/13576.htm,"[{'附件名': '【2302 英语专题课期末考6.29.xlsx】', '下载次数': 789, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624645'}]"
334,教学运行,关于2025届预计毕业生核对电子注册学历信息的通知,2024-05-15,https://jwch.fzu.edu.cn//info/1036/13497.htm,[]
335,教学运行,关于2023-2024学年第二学期《大学英语（三）》课程期末考试安排的通知,2024-06-17,https://jwch.fzu.edu.cn//info/1036/13568.htm,"[{'附件名': '【2302 大学英语（三）期末考 6.23上午.xlsx】', '下载次数': 814, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623875'}]"
336,教材中心,关于举办福州大学第五十二场“教学有道” 研讨活动的通知,2024-05-09,https://jwch.fzu.edu.cn//info/1042/13477.htm,[]
337,计划科,关于2024-2025学年第一学期通识教育选修课选课的通知,2024-08-25,https://jwch.fzu.edu.cn//info/1038/13636.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf】', '下载次数': 3326, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901547'}, {'附件名': '【智慧树学生手册.pptx】', '下载次数': 1749, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901550'}, {'附件名': '【慕课堂学生操作手册.pdf】', '下载次数': 4888, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901548'}]"
338,教学运行,关于2023-2024学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2024-06-04,https://jwch.fzu.edu.cn//info/1036/13544.htm,"[{'附件名': '【2302 毛泽东思想和中国特色社会主义理论体系概论  期末考.xlsx】', '下载次数': 719, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620410'}]"
339,实践科,关于公布第十届桥梁设计大赛获奖名单的通知,2024-05-11,https://jwch.fzu.edu.cn//info/1039/13481.htm,[]
340,教学运行,关于2023-2024学年第二学期《马克思主义基本原理》课程期末考试安排的通知,2024-06-04,https://jwch.fzu.edu.cn//info/1036/13545.htm,"[{'附件名': '【2302  马克思主义基本原理 期末考试.xlsx】', '下载次数': 738, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620411'}]"
341,实践科,关于做好第二十八期、二十九期本科生科研训练计划项目结题工作的通知,2024-05-10,https://jwch.fzu.edu.cn//info/1039/13478.htm,[]
342,教学运行,关于2023-2024学年第二学期《工程制图（C）》课程期末考试安排的通知,2024-05-29,https://jwch.fzu.edu.cn//info/1036/13533.htm,"[{'附件名': '【2302 工程制图C（下）期末考试 6.16下午.xlsx】', '下载次数': 640, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618057'}]"
343,实践科,关于转发组织申报福建省高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知,2024-06-14,https://jwch.fzu.edu.cn//info/1039/13565.htm,"[{'附件名': '【附件1：关于组织申报福建高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知（闽高会[2024]1号）.pdf】', '下载次数': 756, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623545'}, {'附件名': '【附件2：申报材料.zip】', '下载次数': 629, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623544'}]"
344,教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程期末考试安排的通知,2024-05-27,https://jwch.fzu.edu.cn//info/1036/13531.htm,"[{'附件名': '【2302 概率期末考 6.2下午.xlsx】', '下载次数': 715, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14615348'}]"
345,计划科,关于组织申报2024-2025学年第一学期通识教育选修课的通知,2024-05-06,https://jwch.fzu.edu.cn//info/1038/13472.htm,[]
346,综合科,关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2024-05-08,https://jwch.fzu.edu.cn//info/1035/13475.htm,[]
347,计划科,2023-2024学年第二学期在校学生申请辅修专业的通知,2024-05-07,https://jwch.fzu.edu.cn//info/1038/13473.htm,[]
348,教研教改,福州大学关于开展2024级“数智实验班” 招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn//info/1037/13647.htm,"[{'附件名': '【附件1：福州大学2024级“数智实验班”招生简章.docx】', '下载次数': 4002, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903339'}, {'附件名': '【附件3：承诺书.docx】', '下载次数': 1174, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903338'}, {'附件名': '【附件2：福州大学2024级“数智实验班”选拔方案.docx】', '下载次数': 3273, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903337'}]"
349,教研教改,福州大学关于开展2024级“数理金融实验班”招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn//info/1037/13641.htm,"[{'附件名': '【附件2：福州大学2024级“数理金融实验班”选拔方案.doc】', '下载次数': 2064, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903267'}, {'附件名': '【附件1：福州大学2024级“数理金融实验班“招生简章.doc】', '下载次数': 2170, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903268'}, {'附件名': '【附件4：承诺书.doc】', '下载次数': 716, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903270'}, {'附件名': '【附件3：2024级数理金融实验班申请表.doc】', '下载次数': 842, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903269'}]"
350,教学运行,关于2023-2024学年第二学期《思想道德与法治》课程期末考试安排的通知,2024-05-29,https://jwch.fzu.edu.cn//info/1036/13532.htm,"[{'附件名': '【2302 德法 期末考.xlsx】', '下载次数': 689, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618055'}]"
351,教学运行,关于2023-2024学年第二学期《线性代数》课程期末考试安排的通知,2024-05-24,https://jwch.fzu.edu.cn//info/1036/13529.htm,"[{'附件名': '【2302 线性代数期末考 6.2下午.xlsx】', '下载次数': 768, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613663'}]"
352,教材中心,关于做好2024-2025学年第一学期教材选用及征订工作的通知（更新）,2024-06-04,https://jwch.fzu.edu.cn//info/1042/13546.htm,"[{'附件名': '【附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年05月，共计116种）.xlsx】', '下载次数': 953, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620416'}, {'附件名': '【附件2：全国大中专教学用书目录(2024秋季).xlsx】', '下载次数': 1085, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620417'}]"
353,教学运行,关于2023-2024学年第二学期计算机语言类课程期末考试安排的通知,2024-05-15,https://jwch.fzu.edu.cn//info/1036/13491.htm,"[{'附件名': '【2302计算机语言课期末考试6.1.xlsx】', '下载次数': 876, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611191'}]"
354,实践科,关于公布2024年本科生创新创业实践与素质拓展学分认定结果的通知,2024-05-22,https://jwch.fzu.edu.cn//info/1039/13525.htm,"[{'附件名': '【附件：福州大学本科生创新创业实践与素质拓展学分认定汇总表.doc】', '下载次数': 2837, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613260'}]"
355,实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,2024-05-10,https://jwch.fzu.edu.cn//info/1039/13479.htm,"[{'附件名': '【国创省创结题附件.zip】', '下载次数': 1319, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14608195'}]"
356,实践科,关于公布第四届福州大学大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,2024-04-30,https://jwch.fzu.edu.cn//info/1039/13470.htm,[]
357,实践科,福州大学关于公布第二十一届程序设计竞赛获奖名单的通知,2024-04-30,https://jwch.fzu.edu.cn//info/1039/13469.htm,[]
358,教学运行,关于2023-2024学年第二学期《中国近现代史纲要》课程期末考试安排的通知,2024-05-24,https://jwch.fzu.edu.cn//info/1036/13530.htm,"[{'附件名': '【2302 近现代 期末考试.xlsx】', '下载次数': 894, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613665'}]"
359,教学运行,关于2024年五一劳动节放假课程调整的通知,2024-04-26,https://jwch.fzu.edu.cn//info/1036/13409.htm,[]
360,质量办,关于举办福州大学第五十场“教学有道”  研讨活动的通知,2024-04-24,https://jwch.fzu.edu.cn//info/1040/13408.htm,[]
361,教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程期末考试安排的通知,2024-06-12,https://jwch.fzu.edu.cn//info/1036/13563.htm,"[{'附件名': '【2302高等数学B（下）期末考 6.23下午.xlsx】', '下载次数': 817, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622718'}, {'附件名': '【2302 高等数学C（下）期末考 6.23下午.xlsx】', '下载次数': 677, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622717'}, {'附件名': '【2302 高等数学A（中）期末考 6.23下午.xlsx】', '下载次数': 717, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622719'}]"
362,实践科,福州大学关于公布第八届网络信息安全竞赛获奖名单的通知,2024-04-22,https://jwch.fzu.edu.cn//info/1039/13403.htm,[]
363,实践科,关于公布福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛获奖名单的通知,2024-04-26,https://jwch.fzu.edu.cn//info/1039/13413.htm,[]
364,实践科,关于对2024届本科毕业设计（论文）试行AIGC检测的通知,2024-04-28,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13415,[]
365,教学运行,关于2023-2024-02学期体育理论课安排的通知,2024-04-24,https://jwch.fzu.edu.cn//info/1036/13406.htm,[]
366,质量办,关于开学第一周集中听课的通知,2024-08-25,https://jwch.fzu.edu.cn//info/1040/13635.htm,"[{'附件名': '【附件1：福州大学课堂教学质量评估表.doc】', '下载次数': 648, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901500'}, {'附件名': '【附件2：高校思政课教学指导组听课评价表.doc】', '下载次数': 652, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901501'}, {'附件名': '【附件3：2024-2025学年第一学期第一周课表.xlsx】', '下载次数': 787, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901502'}, {'附件名': '【附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc】', '下载次数': 599, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901506'}]"
367,实践科,关于举办福州大学第二十一届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2024-04-17,https://jwch.fzu.edu.cn//info/1039/13391.htm,[]
368,教学运行,关于2023-2024学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2024-05-15,https://jwch.fzu.edu.cn//info/1036/13501.htm,"[{'附件名': '【2302习概论期末考试.xlsx】', '下载次数': 849, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611555'}]"
369,质量办,关于举办福州大学第五十一场“教学有道”  研讨活动的通知,2024-04-26,https://jwch.fzu.edu.cn//info/1040/13410.htm,[]
370,实践科,关于公布第三十期本科生科研训练计划立项项目的通知,2024-06-07,https://jwch.fzu.edu.cn//info/1039/13559.htm,"[{'附件名': '【附件1：福州大学2024年国家级、省级大学生创新创业训练计划推荐立项项目汇总表 .doc】', '下载次数': 4074, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622146'}, {'附件名': '【附件2：福州大学第30期本科生科研训练计划立项项目汇总表.doc】', '下载次数': 9506, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14621349'}]"
371,计划科,关于召开2024版本科人才培养方案修订工作专题会议的通知,2024-04-11,https://jwch.fzu.edu.cn//info/1038/13379.htm,[]
372,教研教改,福州大学关于开展第八届远志创业实验班招生工作的通知,2024-05-17,https://jwch.fzu.edu.cn//info/1037/13513.htm,"[{'附件名': '【附件1：福州大学第八届远志创业实验班招生简章.docx】', '下载次数': 1621, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612014'}, {'附件名': '【附件2：远志创业实验班修读申请表.docx】', '下载次数': 887, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612015'}]"
373,质量办,关于举办福州大学第四十九场“教学有道”研讨活动的通知,2024-04-17,https://jwch.fzu.edu.cn//info/1040/13390.htm,[]
374,实践科,关于举办福州大学第十八届数学建模竞赛的通知,2024-04-19,https://jwch.fzu.edu.cn//info/1039/13396.htm,[]
375,综合科,关于第61届中国高等教育博览会的参会指南,2024-04-12,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13378,[]
376,实践科,关于举办福州大学第六届大学生机器人竞赛的通知,2024-04-19,https://jwch.fzu.edu.cn//info/1039/13397.htm,"[{'附件名': '【附件.zip】', '下载次数': 770, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14601554'}]"
377,教学运行,关于2023-2024学年第二学期《工程制图E》课程期末考试安排的通知,2024-04-28,https://jwch.fzu.edu.cn//info/1036/13414.htm,"[{'附件名': '【2302 工程制图E期末考试 5.12上午.xlsx】', '下载次数': 740, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604454'}]"
378,教学运行,关于2024年清明节放假课程调整的通知,2024-04-01,https://jwch.fzu.edu.cn//info/1036/13343.htm,[]
379,实践科,关于举办2024年福州大学第二十四届数学竞赛的通知,2024-04-23,https://jwch.fzu.edu.cn//info/1039/13405.htm,"[{'附件名': '【附件3：福州大学第二十四届数学竞赛大纲.pdf】', '下载次数': 2869, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14602578'}]"
380,实践科,关于举办福州大学第八届网络信息安全竞赛的通知,2024-03-21,https://jwch.fzu.edu.cn//info/1039/13329.htm,[]
381,教学运行,关于做好2024-2025学年第一学期排课准备工作的通知,2024-03-18,https://jwch.fzu.edu.cn//info/1036/13322.htm,[]
382,实践科,关于举办福州大学第十三届大学生软件设计与服务外包创新创业竞赛的通知,2024-03-13,https://jwch.fzu.edu.cn//info/1039/13312.htm,[]
383,实践科,关于对2024届本科毕业设计（论文）进行查重检测的通知,2024-04-10,https://jwch.fzu.edu.cn//info/1039/13375.htm,"[{'附件名': '【附件：维普论文检测系统查重标准及格式报告说明.doc】', '下载次数': 8355, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592996'}]"
384,计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示,2024-03-13,https://jwch.fzu.edu.cn//info/1038/13310.htm,[]
385,综合科,关于更改2023-2024学年春季学期期初本科教育教学工作会议时间的通知,2024-03-14,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13313,[]
386,教学运行,关于2023-2024学年第二学期《线性代数》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn//info/1036/13352.htm,"[{'附件名': '【2302线代半期考4.27上午.xlsx】', '下载次数': 870, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591952'}]"
387,实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,2024-04-26,https://jwch.fzu.edu.cn//info/1039/13411.htm,"[{'附件名': '【附件2：2024届福州大学本科毕业设计（论文）抽检情况汇总表.xls】', '下载次数': 3260, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604109'}, {'附件名': '【附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx】', '下载次数': 2702, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604108'}]"
388,综合科,关于召开2023-2024学年春季学期期初本科教育教学工作会议的通知,2024-03-13,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13309,[]
389,教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,2024-05-30,https://jwch.fzu.edu.cn//info/1012/13538.htm,"[{'附件名': '【附件4：推荐委员信息一览表.xlsx】', '下载次数': 823, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619035'}, {'附件名': '【附件2：专家推荐信息表.docx】', '下载次数': 629, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619038'}, {'附件名': '【附件1：教育部办公厅关于推荐新一届教指委委员的通知.pdf】', '下载次数': 543, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619036'}, {'附件名': '【附件3：推荐委员汇总表.xlsx】', '下载次数': 512, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619037'}]"
390,实践科,关于参加2024年（第十届）全国大学生统计建模大赛的通知,2024-03-05,https://jwch.fzu.edu.cn//info/1039/13296.htm,[]
391,教学运行,关于2023-2024学年第二学期重新学习选课、缴费的通知,2024-03-11,https://jwch.fzu.edu.cn//info/1036/13306.htm,[]
392,教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn//info/1036/13349.htm,"[{'附件名': '【2302概率半期考4.14下午.xlsx】', '下载次数': 750, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591439'}]"
393,计划科,关于公布2023-2024学年第二学期通选课取消开课名单的通知,2024-03-04,https://jwch.fzu.edu.cn//info/1038/13293.htm,[]
394,教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn//info/1036/13348.htm,"[{'附件名': '【2302高数半期考4.14上午.xlsx】', '下载次数': 986, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591438'}]"
395,教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn//info/1036/13351.htm,"[{'附件名': '【2302大物半期考4.21下午.xlsx】', '下载次数': 852, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591958'}]"
396,计划科,关于2023-2024学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2024-03-11,https://jwch.fzu.edu.cn//info/1038/13305.htm,[]
